segment_id,segment_name,timestamp_utc,timestamp_cdmx,duration_s,static_duration_s,distance_m,congestion_ratio
TLP_NS,Tlalpan N→S,2026-06-11T19:03:40.959841,2026-06-11T13:03:40.959854-06:00,607,605,4748,1.0033
TLP_SN,Tlalpan S→N,2026-06-11T19:03:41.149272,2026-06-11T13:03:41.149285-06:00,1016,805,5220,1.2621
PER_EO,Periférico E→O,2026-06-11T19:03:41.298323,2026-06-11T13:03:41.298337-06:00,583,525,4493,1.1105
MIR_NS,Canal Miramontes N→S,2026-06-11T19:03:41.446655,2026-06-11T13:03:41.446668-06:00,823,777,4692,1.0592
TLP_NS,Tlalpan N→S,2026-06-11T19:39:44.030222,2026-06-11T13:39:44.030234-06:00,630,605,4748,1.0413
TLP_SN,Tlalpan S→N,2026-06-11T19:39:44.198945,2026-06-11T13:39:44.198959-06:00,959,920,7228,1.0424
PER_EO,Periférico E→O,2026-06-11T19:39:44.334117,2026-06-11T13:39:44.334129-06:00,694,525,4493,1.3219
MIR_NS,Canal Miramontes N→S,2026-06-11T19:39:44.502122,2026-06-11T13:39:44.502132-06:00,825,777,4692,1.0618
TLP_NS,Tlalpan N→S,2026-06-11T20:13:42.919845,2026-06-11T14:13:42.919857-06:00,596,605,4748,0.9851
TLP_SN,Tlalpan S→N,2026-06-11T20:13:43.060889,2026-06-11T14:13:43.060901-06:00,1007,920,7228,1.0946
PER_EO,Periférico E→O,2026-06-11T20:13:43.190176,2026-06-11T14:13:43.190218-06:00,893,525,4493,1.701
MIR_NS,Canal Miramontes N→S,2026-06-11T20:13:43.328084,2026-06-11T14:13:43.328097-06:00,894,777,4692,1.1506
TLP_NS,Tlalpan N→S,2026-06-11T21:33:07.122910,2026-06-11T15:33:07.122922-06:00,847,605,4748,1.4
TLP_SN,Tlalpan S→N,2026-06-11T21:33:07.291173,2026-06-11T15:33:07.291185-06:00,1318,920,7228,1.4326
PER_EO,Periférico E→O,2026-06-11T21:33:07.441118,2026-06-11T15:33:07.441131-06:00,967,525,4493,1.8419
MIR_NS,Canal Miramontes N→S,2026-06-11T21:33:07.580104,2026-06-11T15:33:07.580118-06:00,1010,777,4692,1.2999
TLP_NS,Tlalpan N→S,2026-06-11T23:11:13.102593,2026-06-11T17:11:13.102606-06:00,818,605,4748,1.3521
TLP_SN,Tlalpan S→N,2026-06-11T23:11:13.241264,2026-06-11T17:11:13.241275-06:00,1261,805,5220,1.5665
PER_EO,Periférico E→O,2026-06-11T23:11:13.368158,2026-06-11T17:11:13.368171-06:00,996,525,4493,1.8971
MIR_NS,Canal Miramontes N→S,2026-06-11T23:11:13.554423,2026-06-11T17:11:13.554435-06:00,1032,777,4692,1.3282
TLP_NS,Tlalpan N→S,2026-06-11T23:22:24.735961,2026-06-11T17:22:24.735973-06:00,684,605,4748,1.1306
TLP_SN,Tlalpan S→N,2026-06-11T23:22:24.890976,2026-06-11T17:22:24.890989-06:00,1058,805,5220,1.3143
PER_EO,Periférico E→O,2026-06-11T23:22:25.021397,2026-06-11T17:22:25.021410-06:00,1321,525,4493,2.5162
MIR_NS,Canal Miramontes N→S,2026-06-11T23:22:25.161964,2026-06-11T17:22:25.161977-06:00,962,777,4692,1.2381
TLP_NS,Tlalpan N→S,2026-06-11T23:54:27.058217,2026-06-11T17:54:27.058226-06:00,667,605,4748,1.1025
TLP_SN,Tlalpan S→N,2026-06-11T23:54:27.224092,2026-06-11T17:54:27.224101-06:00,884,920,7228,0.9609
PER_EO,Periférico E→O,2026-06-11T23:54:27.369946,2026-06-11T17:54:27.369954-06:00,820,525,4493,1.5619
MIR_NS,Canal Miramontes N→S,2026-06-11T23:54:27.490045,2026-06-11T17:54:27.490053-06:00,783,777,4692,1.0077
TLP_NS,Tlalpan N→S,2026-06-12T00:04:19.760883,2026-06-11T18:04:19.760895-06:00,669,605,4748,1.1058
TLP_SN,Tlalpan S→N,2026-06-12T00:04:19.900748,2026-06-11T18:04:19.900760-06:00,835,920,7228,0.9076
PER_EO,Periférico E→O,2026-06-12T00:04:20.145045,2026-06-11T18:04:20.145057-06:00,567,525,4493,1.08
MIR_NS,Canal Miramontes N→S,2026-06-12T00:04:20.299565,2026-06-11T18:04:20.299577-06:00,799,777,4692,1.0283
TLP_NS,Tlalpan N→S,2026-06-12T00:09:26.190687,2026-06-11T18:09:26.190701-06:00,635,605,4748,1.0496
TLP_SN,Tlalpan S→N,2026-06-12T00:09:26.354392,2026-06-11T18:09:26.354403-06:00,824,920,7228,0.8957
PER_EO,Periférico E→O,2026-06-12T00:09:26.481424,2026-06-11T18:09:26.481435-06:00,577,525,4493,1.099
MIR_NS,Canal Miramontes N→S,2026-06-12T00:09:26.623450,2026-06-11T18:09:26.623461-06:00,794,777,4692,1.0219
TLP_NS,Tlalpan N→S,2026-06-12T00:16:30.704329,2026-06-11T18:16:30.704342-06:00,642,605,4748,1.0612
TLP_SN,Tlalpan S→N,2026-06-12T00:16:30.875308,2026-06-11T18:16:30.875321-06:00,807,920,7228,0.8772
PER_EO,Periférico E→O,2026-06-12T00:16:31.017197,2026-06-11T18:16:31.017210-06:00,561,525,4493,1.0686
MIR_NS,Canal Miramontes N→S,2026-06-12T00:16:31.160519,2026-06-11T18:16:31.160532-06:00,788,777,4692,1.0142
TLP_NS,Tlalpan N→S,2026-06-12T18:31:53.337896,2026-06-12T12:31:53.337903-06:00,622,605,4748,1.0281
TLP_SN,Tlalpan S→N,2026-06-12T18:31:53.483984,2026-06-12T12:31:53.483992-06:00,978,920,7228,1.063
PER_EO,Periférico E→O,2026-06-12T18:31:53.620462,2026-06-12T12:31:53.620473-06:00,1328,775,6935,1.7135
MIR_NS,Canal Miramontes N→S,2026-06-12T18:31:53.757219,2026-06-12T12:31:53.757229-06:00,816,763,5623,1.0695
TLP_NS,Tlalpan N→S,2026-06-12T18:59:23.076794,2026-06-12T12:59:23.076804-06:00,730,605,4748,1.2066
TLP_SN,Tlalpan S→N,2026-06-12T18:59:23.229156,2026-06-12T12:59:23.229166-06:00,1390,920,7228,1.5109
PER_EO,Periférico E→O,2026-06-12T18:59:23.363057,2026-06-12T12:59:23.363068-06:00,1213,775,6935,1.5652
MIR_NS,Canal Miramontes N→S,2026-06-12T18:59:23.499579,2026-06-12T12:59:23.499589-06:00,934,763,5623,1.2241
TLP_NS,Tlalpan N→S,2026-06-12T19:21:29.017299,2026-06-12T13:21:29.017306-06:00,793,605,4748,1.3107
TLP_SN,Tlalpan S→N,2026-06-12T19:21:29.170915,2026-06-12T13:21:29.170920-06:00,1470,1026,5847,1.4327
PER_EO,Periférico E→O,2026-06-12T19:21:29.312205,2026-06-12T13:21:29.312211-06:00,1220,775,6935,1.5742
MIR_NS,Canal Miramontes N→S,2026-06-12T19:21:29.441890,2026-06-12T13:21:29.441895-06:00,996,763,5623,1.3054
TLP_NS,Tlalpan N→S,2026-06-12T19:27:39.770956,2026-06-12T13:27:39.770967-06:00,643,605,4748,1.0628
TLP_SN,Tlalpan S→N,2026-06-12T19:27:39.880152,2026-06-12T13:27:39.880164-06:00,1558,1026,5847,1.5185
PER_EO,Periférico E→O,2026-06-12T19:27:39.994856,2026-06-12T13:27:39.994869-06:00,1209,775,6935,1.56
MIR_NS,Canal Miramontes N→S,2026-06-12T19:27:40.111676,2026-06-12T13:27:40.111688-06:00,852,763,5623,1.1166
TLP_NS,Tlalpan N→S,2026-06-12T19:33:30.310384,2026-06-12T13:33:30.310395-06:00,650,605,4748,1.0744
TLP_SN,Tlalpan S→N,2026-06-12T19:33:30.445976,2026-06-12T13:33:30.445988-06:00,1362,920,7228,1.4804
PER_EO,Periférico E→O,2026-06-12T19:33:30.562137,2026-06-12T13:33:30.562144-06:00,1274,775,6935,1.6439
MIR_NS,Canal Miramontes N→S,2026-06-12T19:33:30.681077,2026-06-12T13:33:30.681084-06:00,852,763,5623,1.1166
